course name,instructor,course description,course dates,seats left,Schedule,delivery,repeatable,Gened type,Waitlist,meeting times,location,meeting days,final exam time,final exam date,final exam location
"""ACCT 3603-100 -Income Tax Accounting I"",",Lucas Swider,"Prerequisite: ACCT 2113, ACCT 2123 and ACCT 3113 with a minimum grade of C or better in each course, or permission; MATH 1743 or MATH 1823 or MATH 1914. Introduction to the taxation of income including issues related to the measurement and recognition of income, deductions and losses; the taxation of property transactions; basis and cost recovery concepts; and alternative forms of business organization. (F, Sp)",May 12 - Jun 6,16 out of 30,Lecture,Traditional In-Person,Not Repeatable,None,0 Waiting,10:30 am - 12:45 pm,Michael F. Price Hall 2010,"MTWRF""",,,
"""ACCT 3980-002 -Honors Research (HONORS)"",",Bradley Blaylock,"1 to 3 hours. Prerequisite: junior or senior standing, admission to the Honors Program. May be repeated; maximum credit six hours. Independent research in field of accounting and related disciplines to apply research techniques learned in research tool courses to actual business situations. (F, Sp)",May 12 - Aug 1,5 out of 5,Independent Study,Traditional In-Person,Max Hours: 6,None,No Wait List,Times not available,Location not available,Days not available,,,
"""ACCT 4543-200 -Auditing"",",Laura Wardwell,"(Slashlisted with ACCT 5543) Prerequisite: ACCT 3113 and ACCT 3123 with a minimum grade of C or better in each course; ACCT 3603; ACCT 3353 or concurrent enrollment; MATH 1743, or MATH 1823, or MATH 1914. This course will cover auditing concepts, standards, principles, and procedures; coverage includes professional ethics, auditors' legal responsibilities, electronic data processing (EDP) control systems, audit sampling, and audit reports. No student may earn credit for both 4543 and 5543. (F, Sp)",Jun 9 - Jul 3,20 out of 30,Lecture,Traditional In-Person,Not Repeatable,None,0 Waiting,1:00 pm - 3:15 pm,Michael F. Price Hall 2010,"MTWRF""",,,
"""ACCT 5123-995 -Adv Acct - Spec Topics"",",Joseph Dulin,"Prerequisite: Graduate Standing, Departmental Permission, and ACCT 5113. This course expands upon topics from Advanced Accounting. Topics include the cost method of consolidation, the process of translation, remeasurement and consolidation of financial statements presented in a foreign currency, and introduction of topics such as partnership accounting, bankruptcy accounting, and SEC Reporting issues. (Irreg.)",Jun 9 - Aug 1,4 out of 5,Lecture,Asynchronous Online,Not Repeatable,None,No Wait List,Times not - Online Days,not,"available""",,,
"""ACCT 5123-999 -Adv Acct - Spec Topics"",",Joseph Dulin,"Prerequisite: Graduate Standing, Departmental Permission, and ACCT 5113. This course expands upon topics from Advanced Accounting. Topics include the cost method of consolidation, the process of translation, remeasurement and consolidation of financial statements presented in a foreign currency, and introduction of topics such as partnership accounting, bankruptcy accounting, and SEC Reporting issues. (Irreg.)",Jun 9 - Aug 1,30 out of 30,Lecture,Asynchronous Online,Not Repeatable,None,No Wait List,Times not - Online Days,not,"available""",,,
"""ACCT 5212-997 -Managerial Accounting"",",Joseph Dulin,"Prerequisites: 5202 and graduate standing; departmental permission. This course emphasizes the use of accounting information for internal planning and control. Introduces students to types of managerial information used to effectively and efficiently run businesses. Covers basic issues in costing (activity based and product); generation and interpretation of information for planning and strategic decision-making (pricing, make-or-buy analysis, cost-volume-profit analysis); production and use of information related to performance measurement. (Irreg.)",May 12 - Jun 27,45 out of 45,Lecture,Synchronous Video Conf/Remote,Not Repeatable,None,No Wait List,7:00 pm - 9:00 pm,Video Conference W Jun 6 7:00 pm - 9:00 pm Video Conference,"F""",,,
"""ACCT 5212-998 -Managerial Accounting"",",Joseph Dulin,"Prerequisites: 5202 and graduate standing; departmental permission. This course emphasizes the use of accounting information for internal planning and control. Introduces students to types of managerial information used to effectively and efficiently run businesses. Covers basic issues in costing (activity based and product); generation and interpretation of information for planning and strategic decision-making (pricing, make-or-buy analysis, cost-volume-profit analysis); production and use of information related to performance measurement. (Irreg.)",May 12 - Jun 27,24 out of 29,Lecture,Synchronous Video Conf/Remote,Not Repeatable,None,No Wait List,7:00 pm - 9:00 pm,Video Conference W Jun 6 7:00 pm - 9:00 pm Video Conference,"F""",,,
"""ACCT 5352-996 -Financial Statement Analysis"",",Ashley Newton,"Prerequisites: graduate standing; departmental permission. Intended to increase your ability to use and make decisions using information presented in the financial statements of publicly traded companies. A number of different decision contexts will be examined including valuation of potential acquisitions, investment analysis, credit analysis, managing corporate financing policies and analyzing business communications. Will consider the role of both accounting and non-accounting information. (Irreg.)",Jun 30 - Aug 15,1 out of 1,Lecture,Synchronous Video Conf/Remote,Not Repeatable,None,No Wait List,7:00 pm - 9:00 pm,Video Conference W Aug 1 7:00 pm - 9:00 pm Video Conference,"F""",,,
"""ACCT 5352-999 -Financial Statement Analysis"",",Ashley Newton,"Prerequisites: graduate standing; departmental permission. Intended to increase your ability to use and make decisions using information presented in the financial statements of publicly traded companies. A number of different decision contexts will be examined including valuation of potential acquisitions, investment analysis, credit analysis, managing corporate financing policies and analyzing business communications. Will consider the role of both accounting and non-accounting information. (Irreg.)",Jun 30 - Aug 15,40 out of 40,Lecture,Synchronous Video Conf/Remote,Not Repeatable,None,No Wait List,7:00 pm - 9:00 pm,Video Conference W Aug 1 7:00 pm - 9:00 pm Video Conference,"F""",,,
"""ACCT 5960-999 -Directed Readings"",",Joseph Dulin,"1 to 3 hours. Prerequisite: graduate standing and permission of department. May be repeated; maximum credit twelve hours. Directed readings and/or literature reviews under the direction of a faculty member. (F, Sp, Su)",May 12 - Aug 15,5 out of 5,Independent Study,Asynchronous Online,Max Hours: 12,None,No Wait List,Times not - Online Days,not,"available""",,,
"""ACCT 5990-001 -Research in Accounting"",",Kevan Jensen,"1 to 4 hours. Prerequisite: graduate standing and permission of department. May be repeated; maximum credit eight hours. (F, Sp, Su)",May 12 - Aug 1,5 out of 5,Independent Study,Traditional In-Person,Max Hours: 8,None,No Wait List,Times not available,Location not available,Days not available,,,
"""ACCT 5990-002 -Research in Accounting"",",Richard Price,"1 to 4 hours. Prerequisite: graduate standing and permission of department. May be repeated; maximum credit eight hours. (F, Sp, Su)",May 12 - Aug 1,5 out of 5,Independent Study,Traditional In-Person,Max Hours: 8,None,No Wait List,Times not available,Location not available,Days not available,,,
"""ACCT 6553-995 -Accounting Theory and Research"",",Ashley Newton,"Prerequisite: graduate standing, 24 hours of accounting and permission. Examines the history and development of accounting theory and its reflection in current professional standards. In the process, the course also facilitates the development of the knowledge and skills necessary to research and analyze specific practice and policy issues. (Irreg.)",Jun 9 - Aug 1,1 out of 4,Seminar,Synchronous Video Conf/Remote,Not Repeatable,None,No Wait List,7:00 pm - 10:00 pm,Video Conference,"M""",,,
"""ACCT 6553-996 -Accounting Theory and Research"",",Ashley Newton,"Prerequisite: graduate standing, 24 hours of accounting and permission. Examines the history and development of accounting theory and its reflection in current professional standards. In the process, the course also facilitates the development of the knowledge and skills necessary to research and analyze specific practice and policy issues. (Irreg.)",Jun 9 - Aug 1,30 out of 30,Seminar,Synchronous Video Conf/Remote,Not Repeatable,None,No Wait List,7:00 pm - 10:00 pm,Video Conference,"M""",,,
"""ACCT 6553-997 -Accounting Theory and Research"",",Ashley Newton,"Prerequisite: graduate standing, 24 hours of accounting and permission. Examines the history and development of accounting theory and its reflection in current professional standards. In the process, the course also facilitates the development of the knowledge and skills necessary to research and analyze specific practice and policy issues. (Irreg.)",Jun 9 - Aug 1,2 out of 2,Seminar,Synchronous Video Conf/Remote,Not Repeatable,None,No Wait List,7:00 pm - 10:00 pm,Video Conference,"T""",,,
"""ACCT 6553-998 -Accounting Theory and Research"",",Ashley Newton,"Prerequisite: graduate standing, 24 hours of accounting and permission. Examines the history and development of accounting theory and its reflection in current professional standards. In the process, the course also facilitates the development of the knowledge and skills necessary to research and analyze specific practice and policy issues. (Irreg.)",Jun 9 - Aug 1,30 out of 30,Seminar,Synchronous Video Conf/Remote,Not Repeatable,None,No Wait List,7:00 pm - 10:00 pm,Video Conference,"T""",,,
"""ACCT 6980-001 -Research Doctoral Dissertation"",",Richard Price,"2 to 16 hours. Prerequisite: Graduate standing and permission of instructor; may be repeated. Directed research culminating in the completion of the doctoral dissertation. (F, Sp, Su)",May 12 - Aug 1,5 out of 5,Thesis/Dissertation,Traditional In-Person,Times: 30,None,No Wait List,Times not available,Location not available,Days not available,,,
"""ACCT 6980-004 -Research Doctoral Dissertation"",",Wayne Thomas,"2 to 16 hours. Prerequisite: Graduate standing and permission of instructor; may be repeated. Directed research culminating in the completion of the doctoral dissertation. (F, Sp, Su)",May 12 - Aug 1,5 out of 5,Thesis/Dissertation,Traditional In-Person,Times: 30,None,No Wait List,Times not available,Location not available,Days not available,,,
"""ACCT 6980-005 -Research Doctoral Dissertation"",",Andrew Cuccia,"2 to 16 hours. Prerequisite: Graduate standing and permission of instructor; may be repeated. Directed research culminating in the completion of the doctoral dissertation. (F, Sp, Su)",May 12 - Aug 1,5 out of 5,Thesis/Dissertation,Traditional In-Person,Times: 30,None,No Wait List,Times not available,Location not available,Days not available,,,
"""ACCT 6980-006 -Research Doctoral Dissertation"",",Cheng-Shing Cheng,"2 to 16 hours. Prerequisite: Graduate standing and permission of instructor; may be repeated. Directed research culminating in the completion of the doctoral dissertation. (F, Sp, Su)",May 12 - Aug 1,5 out of 5,Thesis/Dissertation,Traditional In-Person,Times: 30,None,No Wait List,Times not available,Location not available,Days not available,,,
"""AFAM 4423-995 -African American Health Issues"",",Sharri Coleman,"Notice: Some Summer Session courses list a \""CONF\"" meeting time on the class schedule in order to restrict students to enrollment in only one course for parts of term by creating a time conflict with other Summer Session courses. There is not an expectation for students to actually meet for those listed times. Consult your College Advisor for potential exceptions.  Prerequisite: any course that focuses upon African or African American content, or English 1213. Examines health problems, health status, and health behavior of African American men and women. A life course perspective is emphasized from birth to later life. It is assumed that being African American predisposes persons to health problems that increase the risk of disease or that influence health based on the diversity of cultural beliefs, values, and practices. Access to health services will be addressed. (Irreg.)",Jul 7 - Aug 1,30 out of 30,Lecture,Asynchronous Online,Not Repeatable,None,0 Waiting,Times not - Online Days,not,"available""",,,
"""AFAM 4990-001 -Independent Study"",",Jeanette Davidson,"Prerequisite: permission of instructor. Permits the student to study in depth, under the guidance of the instructor, particular and special African and African-American topics of interest to the student and within the expertise of the instructor. Generally, students and the instructor meet to determine the nature of independent study, schedule progress reports and meetings, timelines for the submission of assignments, nature of the evaluation process and culminating effort or activity. (F, Sp, Su)",May 12 - Aug 1,5 out of 5,Independent Study,Traditional In-Person,Max Hours: 6,None,No Wait List,Times not available,Location not available,Days not available,,,
"""AFAM 4990-002 -Independent Study"",",Karlos Hill,"Prerequisite: permission of instructor. Permits the student to study in depth, under the guidance of the instructor, particular and special African and African-American topics of interest to the student and within the expertise of the instructor. Generally, students and the instructor meet to determine the nature of independent study, schedule progress reports and meetings, timelines for the submission of assignments, nature of the evaluation process and culminating effort or activity. (F, Sp, Su)",May 12 - Aug 1,5 out of 5,Independent Study,Traditional In-Person,Max Hours: 6,None,No Wait List,Times not available,Location not available,Days not available,,,
"""AFAM 4990-003 -Independent Study"",",Greg Graham,"Prerequisite: permission of instructor. Permits the student to study in depth, under the guidance of the instructor, particular and special African and African-American topics of interest to the student and within the expertise of the instructor. Generally, students and the instructor meet to determine the nature of independent study, schedule progress reports and meetings, timelines for the submission of assignments, nature of the evaluation process and culminating effort or activity. (F, Sp, Su)",May 12 - Aug 1,5 out of 5,Independent Study,Traditional In-Person,Max Hours: 6,None,No Wait List,Times not available,Location not available,Days not available,,,
"""AME 6980-002 -Research Doctoral Dissertation"",",Wilson Merchan-Merchan,"2 to 16 hours. Prerequisite: Graduate standing and permission of instructor; may be repeated. Directed research culminating in the completion of the doctoral dissertation. (F, Sp, Su)",May 12 - Aug 1,5 out of 5,Thesis/Dissertation,Traditional In-Person,Times: 30,None,No Wait List,Times not available,Location not available,Days not available,,,
"""AME 6980-006 -Research Doctoral Dissertation"",",TBD,"2 to 16 hours. Prerequisite: Graduate standing and permission of instructor; may be repeated. Directed research culminating in the completion of the doctoral dissertation. (F, Sp, Su)",May 12 - Aug 1,5 out of 5,Thesis/Dissertation,Traditional In-Person,Times: 30,None,No Wait List,Times not available,Location not available,Days not available,,,
"""AME 6980-007 -Research Doctoral Dissertation"",",Zahed Siddique,"2 to 16 hours. Prerequisite: Graduate standing and permission of instructor; may be repeated. Directed research culminating in the completion of the doctoral dissertation. (F, Sp, Su)",May 12 - Aug 1,5 out of 5,Thesis/Dissertation,Traditional In-Person,Times: 30,None,No Wait List,Times not available,Location not available,Days not available,,,
"""AME 6980-010 -Research Doctoral Dissertation"",",Mrinal Saha,"2 to 16 hours. Prerequisite: Graduate standing and permission of instructor; may be repeated. Directed research culminating in the completion of the doctoral dissertation. (F, Sp, Su)",May 12 - Aug 1,5 out of 5,Thesis/Dissertation,Traditional In-Person,Times: 30,None,No Wait List,Times not available,Location not available,Days not available,,,
"""AME 6980-013 -Research Doctoral Dissertation"",",Yijie Jiang,"2 to 16 hours. Prerequisite: Graduate standing and permission of instructor; may be repeated. Directed research culminating in the completion of the doctoral dissertation. (F, Sp, Su)",May 12 - Aug 1,5 out of 5,Thesis/Dissertation,Traditional In-Person,Times: 30,None,No Wait List,Times not available,Location not available,Days not available,,,
"""AME 6980-017 -Research Doctoral Dissertation"",",Li Song,"2 to 16 hours. Prerequisite: Graduate standing and permission of instructor; may be repeated. Directed research culminating in the completion of the doctoral dissertation. (F, Sp, Su)",May 12 - Aug 1,5 out of 5,Thesis/Dissertation,Traditional In-Person,Times: 30,None,No Wait List,Times not available,Location not available,Days not available,,,
"""AME 6980-023 -Research Doctoral Dissertation"",",Yingtao Liu,"2 to 16 hours. Prerequisite: Graduate standing and permission of instructor; may be repeated. Directed research culminating in the completion of the doctoral dissertation. (F, Sp, Su)",May 12 - Aug 1,5 out of 5,Thesis/Dissertation,Traditional In-Person,Times: 30,None,No Wait List,Times not available,Location not available,Days not available,,,
"""AME 6980-024 -Research Doctoral Dissertation"",",Jivtesh Garg,"2 to 16 hours. Prerequisite: Graduate standing and permission of instructor; may be repeated. Directed research culminating in the completion of the doctoral dissertation. (F, Sp, Su)",May 12 - Aug 1,5 out of 5,Thesis/Dissertation,Traditional In-Person,Times: 30,None,No Wait List,Times not available,Location not available,Days not available,,,
"""AME 6980-026 -Research Doctoral Dissertation"",",Dong Zhang,"2 to 16 hours. Prerequisite: Graduate standing and permission of instructor; may be repeated. Directed research culminating in the completion of the doctoral dissertation. (F, Sp, Su)",May 12 - Aug 1,5 out of 5,Thesis/Dissertation,Traditional In-Person,Times: 30,None,No Wait List,Times not available,Location not available,Days not available,,,
"""AME 6980-027 -Research Doctoral Dissertation"",",Pejman Kazempoor,"2 to 16 hours. Prerequisite: Graduate standing and permission of instructor; may be repeated. Directed research culminating in the completion of the doctoral dissertation. (F, Sp, Su)",May 12 - Aug 1,5 out of 5,Thesis/Dissertation,Traditional In-Person,Times: 30,None,No Wait List,Times not available,Location not available,Days not available,,,
"""AME 6980-029 -Research Doctoral Dissertation"",",Erkan Kayacan,"2 to 16 hours. Prerequisite: Graduate standing and permission of instructor; may be repeated. Directed research culminating in the completion of the doctoral dissertation. (F, Sp, Su)",May 12 - Aug 1,5 out of 5,Thesis/Dissertation,Traditional In-Person,Times: 30,None,No Wait List,Times not available,Location not available,Days not available,,,
"""AME 6980-030 -Research Doctoral Dissertation"",",Hamidreza Shabgard,"2 to 16 hours. Prerequisite: Graduate standing and permission of instructor; may be repeated. Directed research culminating in the completion of the doctoral dissertation. (F, Sp, Su)",May 12 - Aug 1,5 out of 5,Thesis/Dissertation,Traditional In-Person,Times: 30,None,No Wait List,Times not available,Location not available,Days not available,,,
"""AMGT 4030-001 -Internship I in The Arts"",",Renard Stanislas,1 to 3 hours. (Slashlisted with AMGT 5030) Prerequisite: Junior standing or permission of the instructor; May be repeated; Maximum credit: six hours. Students arrange for and work in a focused professional work experience. No student may earn credit for both 4030 and 5030. (Irreg.),May 12 - Aug 1,5 out of 5,Internship,Traditional In-Person,"Times: 1, Max Hours: 6",None,No Wait List,Times not available,Location not available,Days not available,,,
"""AMGT 4030-002 -Internship I in The Arts"",",Renard Stanislas,1 to 3 hours. (Slashlisted with AMGT 5030) Prerequisite: Junior standing or permission of the instructor; May be repeated; Maximum credit: six hours. Students arrange for and work in a focused professional work experience. No student may earn credit for both 4030 and 5030. (Irreg.),Jun 9 - Aug 1,5 out of 5,Internship,Traditional In-Person,"Times: 1, Max Hours: 6",None,No Wait List,Times not available,Location not available,Days not available,,,
"""AMGT 4990-001 -Independent Study"",",Renard Stanislas,1 to 3 hours. Prerequisite: Senior standing and permission of instructor. May be repeated; maximum credit nine hours. Contracted independent study for a topic not currently offered in regularly scheduled courses. Independent study may include library and/or laboratory research and field projects. (Irreg.),May 12 - Aug 1,15 out of 15,Independent Study,Traditional In-Person,Max Hours: 9,None,No Wait List,Times not available,Location not available,Days not available,,,
"""AMGT 5030-001 -Internship I in the Arts"",",Renard Stanislas,"1 to 3 hours. (Slashlisted with AMGT 4030) Prerequisite: Graduate standing, AMGT 5013, and permission of instructor; may be repeated, maximum 6 credits. Students arrange for and work in a focused professional work experience. No student may earn credit for both 4030 and 5030. (Irreg.)",May 12 - Aug 1,15 out of 15,Internship,Traditional In-Person,"Times: 1, Max Hours: 6",None,No Wait List,Times not available,Location not available,Days not available,,,
"""ANTH 5980-004 -Research for Master's Thesis"",",Misha Klein,"Variable enrollment, two to nine hours; maximum credit applicable toward degree, four hours. Laboratory (F, Sp, Su)",May 12 - Aug 1,5 out of 5,Thesis/Dissertation,Traditional In-Person,Times: 20,None,No Wait List,Times not available,Location not available,Days not available,,,
"""ANTH 5980-009 -Research for Master's Thesis"",",BONNIE PITBLADO,"Variable enrollment, two to nine hours; maximum credit applicable toward degree, four hours. Laboratory (F, Sp, Su)",May 12 - Aug 1,5 out of 5,Thesis/Dissertation,Traditional In-Person,Times: 20,None,No Wait List,Times not available,Location not available,Days not available,,,
"""ANTH 5980-010 -Research for Master's Thesis"",",Sean O Neill,"Variable enrollment, two to nine hours; maximum credit applicable toward degree, four hours. Laboratory (F, Sp, Su)",May 12 - Aug 1,5 out of 5,Thesis/Dissertation,Traditional In-Person,Times: 20,None,No Wait List,Times not available,Location not available,Days not available,,,
"""ANTH 5980-013 -Research for Master's Thesis"",",Paul Spicer,"Variable enrollment, two to nine hours; maximum credit applicable toward degree, four hours. Laboratory (F, Sp, Su)",May 12 - Aug 1,5 out of 5,Thesis/Dissertation,Traditional In-Person,Times: 20,None,No Wait List,Times not available,Location not available,Days not available,,,
"""ANTH 5980-015 -Research for Master's Thesis"",",Asa Randall,"Variable enrollment, two to nine hours; maximum credit applicable toward degree, four hours. Laboratory (F, Sp, Su)",May 12 - Aug 1,5 out of 5,Thesis/Dissertation,Traditional In-Person,Times: 20,None,No Wait List,Times not - Dale Hall,Tower 522 Days not,"available""",,,
"""ANTH 5980-019 -Research for Master's Thesis"",",Racquel-Maria Sapien,"Variable enrollment, two to nine hours; maximum credit applicable toward degree, four hours. Laboratory (F, Sp, Su)",May 12 - Aug 1,5 out of 5,Thesis/Dissertation,Traditional In-Person,Times: 20,None,No Wait List,Times not available,Location not available,Days not available,,,
"""ANTH 5990-001 -Special Anthro Problems"",",BONNIE PITBLADO,"1 to 3 hours. May be repeated; maximum credit 12 hours. Permits the student to investigate a specific problem in terms of currently available data. It may be within any field of anthropology recommended by the instructor or adviser. (F, Sp, Su)",May 12 - Aug 1,5 out of 5,Independent Study,Traditional In-Person,Max Hours: 12,None,No Wait List,Times not available,Location not available,Days not available,,,
"""ANTH 6650-001 -Advanced Fieldwork in Anthro"",",Patrick Livingood,3 to 8 hours. Prerequisite: permission of chairperson and dean of the Graduate College. Students interested in this summer program should request a Special Announcement from the Department of Anthropology. Laboratory (Su),May 12 - Aug 1,5 out of 5,Internship,Traditional In-Person,Max Hours: 8,None,No Wait List,Times not available,Location not available,Days not available,,,
"""ANTH 6980-001 -Research Doctoral Dissertation"",",Sean O Neill,"2 to 16 hours. Prerequisite: Graduate standing; may be repeated. Directed research culminating in the completion of the doctoral dissertation. (F, Sp, Su)",May 12 - Aug 1,5 out of 5,Thesis/Dissertation,Traditional In-Person,Times: 30,None,No Wait List,Times not available,Location not available,Days not available,,,
"""ANTH 6980-002 -Research Doctoral Dissertation"",",Patrick Livingood,"2 to 16 hours. Prerequisite: Graduate standing; may be repeated. Directed research culminating in the completion of the doctoral dissertation. (F, Sp, Su)",May 12 - Aug 1,5 out of 5,Thesis/Dissertation,Traditional In-Person,Times: 30,None,No Wait List,Times not available,Location not available,Days not available,,,
"""ANTH 6980-003 -Research Doctoral Dissertation"",",Tassie Hirschfeld,"2 to 16 hours. Prerequisite: Graduate standing; may be repeated. Directed research culminating in the completion of the doctoral dissertation. (F, Sp, Su)",May 12 - Aug 1,5 out of 5,Thesis/Dissertation,Traditional In-Person,Times: 30,None,No Wait List,Times not available,Location not available,Days not available,,,
"""ANTH 6980-004 -Research Doctoral Dissertation"",",Cecil Lewis,"2 to 16 hours. Prerequisite: Graduate standing; may be repeated. Directed research culminating in the completion of the doctoral dissertation. (F, Sp, Su)",May 12 - Aug 1,5 out of 5,Thesis/Dissertation,Traditional In-Person,Times: 30,None,No Wait List,Times not available,Location not available,Days not available,,,
