course name,instructor,course description,course dates,seats left,Schedule,delivery,repeatable,Gened type,Waitlist,meeting times,location,meeting days,final exam time,final exam date,final exam location
"""AERO 1011-002 -Air Force - Heritage & Values"",","Aaron Ashley, Jeffrey Pixley, Travis Moore and Nicholas Maher","Prerequisite: concurrent enrollment in AERO 1300. This course provides an introduction to the Air and Space Forces, hopefully encouraging students to pursue an AF career. The course also lays the foundation for becoming an Air or Space professional by outlining our heritage and values. As a foundational course, AERO 1011 also provides a historical perspective with lessons on war, AF operations, and principles of airpower. (F)",Aug 19 - Dec 6,25 out of 50,Lecture,Traditional In-Person,Not Repeatable,None,0 Waiting,9:00 am - 9:50 am,Burton Hall 210,R,8:00 am - 10:00 am,Dec 9,"Burton Hall 210 M"","
"""AERO 1300-001 -Leadership Laboratory"",","Nicholas Maher, Aaron Ashley, Travis Moore, Jeffrey Pixley and La Wanna Washington","Prerequisite: concurrent enrollment in AERO 1011, 1021, 2011, 2021, 3013, 3023, 4013 or 4023 or permission. Designed to introduce the student to the customs and courtesies associated with the Air Force. Also provides a practicum for the initial development of leadership and command abilities. (F, Sp)",Aug 19 - Dec 6,53 out of 180,Practicum,Traditional In-Person,Times: 10,None,No Wait List,6:00 am - 7:55 am,Dale Hall 128,"W""",8:00 am - 10:00 am,Dec 9,"Burton Hall 210 M"","
"""AERO 2011-001 -Team/Leadership Fundamentals 1"",","Jeffrey Pixley, Aaron Ashley, Travis Moore and Nicholas Maher","Prerequisite: Corequisite: AERO 1300. This course is designed to provide a fundamental understanding of both leadership and team building. It is imperative that students are taught from the beginning that there are many layers to leadership, including listening, understanding themselves, being a good follower and problem solving efficiently. Students should demonstrate basic verbal and written communication skills. (F)",Aug 19 - Dec 6,16 out of 30,Lecture,Traditional In-Person,Not Repeatable,None,0 Waiting,9:00 am - 9:50 am,Burton Hall 210,T,8:00 am - 10:00 am,Dec 9,"Burton Hall 210 M"","
"""AERO 2011-002 -Team/Leadership Fundamentals 1"",","Jeffrey Pixley, Aaron Ashley, Travis Moore and Nicholas Maher","Prerequisite: Corequisite: AERO 1300. This course is designed to provide a fundamental understanding of both leadership and team building. It is imperative that students are taught from the beginning that there are many layers to leadership, including listening, understanding themselves, being a good follower and problem solving efficiently. Students should demonstrate basic verbal and written communication skills. (F)",Aug 19 - Dec 6,18 out of 40,Lecture,Traditional In-Person,Not Repeatable,None,0 Waiting,10:30 am - 11:20 am,Burton Hall 210,R,8:00 am - 10:00 am,Dec 12,"Burton Hall 210 R"","
"""AERO 3013-001 -Leading/Effective Comm 1"",","Travis Moore, Jeffrey Pixley, Aaron Ashley and Nicholas Maher",Prerequisite: Departmental Permission; Corequisite: AERO 1300. This course is designed to build on the leadership fundamentals taught in AERO 2021. The students will have the opportunity to utilize their skills as they begin more of a leadership role in the detachment. The goal is for students to have a more in-depth understanding of how to effectively lead people. Concurrent enrollment in AERO 1300 is required. (F),Aug 19 - Dec 6,4 out of 16,Lecture,Traditional In-Person,Not Repeatable,None,0 Waiting,10:30 am - 11:45 am,Cate Dorm 4 - 480,TR,8:00 am - 10:00 am,Dec 12,"Cate Dorm 480 (Final Exam) R - EXAM"","
"""AERO 3013-002 -Leading/Effective Comm 1"",","Travis Moore, Jeffrey Pixley, Aaron Ashley and Nicholas Maher",Prerequisite: Departmental Permission; Corequisite: AERO 1300. This course is designed to build on the leadership fundamentals taught in AERO 2021. The students will have the opportunity to utilize their skills as they begin more of a leadership role in the detachment. The goal is for students to have a more in-depth understanding of how to effectively lead people. Concurrent enrollment in AERO 1300 is required. (F),Aug 19 - Dec 6,14 out of 21,Lecture,Traditional In-Person,Not Repeatable,None,0 Waiting,12:00 pm - 1:15 pm,Cate Dorm 4 - 480,TR,1:30 pm - 3:30 pm,Dec 11,"Cate Dorm 480 (Final Exam) W - EXAM"","
"""AERO 4013-001 -American National Security I"",","Nicholas Maher, Aaron Ashley, Travis Moore and Jeffrey Pixley","Prerequisite: 3023 or departmental permission. Conceptual study of the U.S. national security policy examining the formulation, organization and implementation of national security; the context of national security; the evolution of strategy; and the management of conflict. Included is a block of instruction on the military justice system. Concurrent enrollment in 4100 is required. (F)",Aug 19 - Dec 6,14 out of 21,Lecture,Traditional In-Person,Not Repeatable,None,0 Waiting,9:00 am - 10:15 am,Cate Dorm 4 - 480,TR,8:00 am - 10:00 am,Dec 9,"Cate Dorm 480 (Final Exam) M - EXAM"","
"""AERO 4013-002 -American National Security I"",","Nicholas Maher, Aaron Ashley, Travis Moore and Jeffrey Pixley","Prerequisite: 3023 or departmental permission. Conceptual study of the U.S. national security policy examining the formulation, organization and implementation of national security; the context of national security; the evolution of strategy; and the management of conflict. Included is a block of instruction on the military justice system. Concurrent enrollment in 4100 is required. (F)",Aug 19 - Dec 6,11 out of 24,Lecture,Traditional In-Person,Not Repeatable,None,0 Waiting,12:00 pm - 1:15 pm,Dunham,R,1:30 pm - 3:30 pm,Dec 11,"Dunham Residential College A0128 W"","
"""AFAM 3333-001 -The Black West"",",Kalenda Eaton,"(Crosslisted with HIST 3333) Prerequisite: Junior standing, or any 2000-level African and African American Studies class, or permission of instructor. Survey of Black history and experience in the American West. Students will learn about life in the region through primary documents, scholarly texts, literature, film, and popular culture. Emphasis on how identity, regionalism, and nationalism converge in North America. Particular attention will be paid to Oklahoma and the larger Great Plains. (Irreg.)",Aug 19 - Dec 6,14 out of 20,Lecture,Traditional In-Person,Not Repeatable,None,0 Waiting,9:00 am - 9:50 am,Kaufman Hall 140,MWF,8:00 am - 10:00 am,Dec 10,"Kaufman Hall 140 T"","
"""AFAM 3423-001 -African-American Men"",",Amos Coleman,"Prerequisite: any course the focuses on African and African-American content, or English 1213. Examines the status and role of the African-American male, from the perspective of contemporary research and literature which should frame the extant disclosure and discussions, policy-making, and future research. (Irreg.)",Aug 19 - Dec 6,17 out of 30,Lecture,Blended In-Person Synchronous,Not Repeatable,None,0 Waiting,12:00 pm - 1:15 pm,Physical Science Ctr 359,T,1:30 pm - 3:30 pm,Dec 11,"Physical Science Ctr 359 W"","
"""AFAM 3980-001 -Honors Research (HONORS)"",",Sharri Coleman,"1 to 3 hours. Prerequisite: admission to Honors Program. May be repeated; maximum credit six hours. Provides an opportunity for the gifted Honors candidate to work at a special project in the student's field. (F, Sp, Su)",Aug 19 - Dec 13,1 out of 1,Independent Study,Traditional In-Person,Not Repeatable,None,No Wait List,Times not available,Location not available,Days not available,1:30 pm - 3:30 pm,Dec 11,"Physical Science Ctr 359 W"","
"""AFAM 4423-001 -African American Health Issues"",",Sharri Coleman,"Prerequisite: any course that focuses upon African or African American content, or English 1213. Examines health problems, health status, and health behavior of African American men and women. A life course perspective is emphasized from birth to later life. It is assumed that being African American predisposes persons to health problems that increase the risk of disease or that influence health based on the diversity of cultural beliefs, values, and practices. Access to health services will be addressed. (Irreg.)",Aug 19 - Dec 6,17 out of 30,Lecture,Traditional In-Person,Not Repeatable,None,0 Waiting,12:00 pm - 12:50 pm,Cate Center One 237,MWF,1:30 pm - 3:30 pm,Dec 12,"Cate Center One 237 R"","
"""AFAM 4990-001 -Independent Study"",",Jeanette Davidson,"Prerequisite: permission of instructor. Permits the student to study in depth, under the guidance of the instructor, particular and special African and African-American topics of interest to the student and within the expertise of the instructor. Generally, students and the instructor meet to determine the nature of independent study, schedule progress reports and meetings, timelines for the submission of assignments, nature of the evaluation process and culminating effort or activity. (F, Sp, Su)",Aug 19 - Dec 13,5 out of 5,Independent Study,Traditional In-Person,Max Hours: 6,None,0 Waiting,Times not - Physical Science,Ctr 516 Days not,"available""",1:30 pm - 3:30 pm,Dec 12,"Cate Center One 237 R"","
"""AFAM 4990-002 -Independent Study"",",Karlos Hill,"Prerequisite: permission of instructor. Permits the student to study in depth, under the guidance of the instructor, particular and special African and African-American topics of interest to the student and within the expertise of the instructor. Generally, students and the instructor meet to determine the nature of independent study, schedule progress reports and meetings, timelines for the submission of assignments, nature of the evaluation process and culminating effort or activity. (F, Sp, Su)",Aug 19 - Dec 13,5 out of 5,Independent Study,Traditional In-Person,Max Hours: 6,None,No Wait List,Times not available,Location not available,Days not available,,,
"""AFAM 4990-003 -Independent Study"",",Greg Graham,"Prerequisite: permission of instructor. Permits the student to study in depth, under the guidance of the instructor, particular and special African and African-American topics of interest to the student and within the expertise of the instructor. Generally, students and the instructor meet to determine the nature of independent study, schedule progress reports and meetings, timelines for the submission of assignments, nature of the evaluation process and culminating effort or activity. (F, Sp, Su)",Aug 19 - Dec 13,5 out of 5,Independent Study,Traditional In-Person,Max Hours: 6,None,No Wait List,Times not available,Location not available,Days not available,,,
"""AFAM 4990-006 -Independent Study"",",Sharri Coleman,"Prerequisite: permission of instructor. Permits the student to study in depth, under the guidance of the instructor, particular and special African and African-American topics of interest to the student and within the expertise of the instructor. Generally, students and the instructor meet to determine the nature of independent study, schedule progress reports and meetings, timelines for the submission of assignments, nature of the evaluation process and culminating effort or activity. (F, Sp, Su)",Aug 19 - Dec 13,1 out of 1,Independent Study,Traditional In-Person,Max Hours: 6,None,No Wait List,Times not available,Location not available,Days not available,,,
"""AHS 1400-001 -Orientation-Health Professions"",",Mark Britton and Wade Hensley,"Orientation to the health professions. 1 to 2 Hours. Typically, a one-hour survey course to introduce and explore the health professions offered by the colleges of the University of Oklahoma Health Sciences Center. Through a series of lectures, students will interact with educators, practitioners, and students in: audiology, dental hygiene, dentistry, medicine, nuclear medicine, nursing, nutritional sciences, occupational therapy, pharmacy, physical therapy, physician associate, public health, radiation therapy, radiography, sonography, and speech-language pathology. (F, Sp)",Aug 19 - Dec 6,28 out of 163,Lecture,Traditional In-Person,Max Hours: 2,None,0 Waiting,12:00 pm - 12:55 pm,Physical Science Ctr 108,"T""",,,
"""AME 6980-023 -Research Doctoral Dissertation"",",Yingtao Liu,"2 to 16 hours. Prerequisite: Graduate standing and permission of instructor; may be repeated. Directed research culminating in the completion of the doctoral dissertation. (F, Sp, Su)",Aug 19 - Dec 13,2 out of 5,Thesis/Dissertation,Traditional In-Person,Times: 30,None,No Wait List,Times not - Felgar Hall,218A Days not,"available""",,,
"""AME 6980-024 -Research Doctoral Dissertation"",",Jivtesh Garg,"2 to 16 hours. Prerequisite: Graduate standing and permission of instructor; may be repeated. Directed research culminating in the completion of the doctoral dissertation. (F, Sp, Su)",Aug 19 - Dec 13,2 out of 5,Thesis/Dissertation,Traditional In-Person,Times: 30,None,No Wait List,Times not - Felgar Hall,209 Days not,"available""",,,
"""AME 6980-026 -Research Doctoral Dissertation"",",Dong Zhang,"2 to 16 hours. Prerequisite: Graduate standing and permission of instructor; may be repeated. Directed research culminating in the completion of the doctoral dissertation. (F, Sp, Su)",Aug 19 - Dec 13,3 out of 5,Thesis/Dissertation,Traditional In-Person,Times: 30,None,No Wait List,Times not - Felgar Hall,207 Days not,"available""",,,
"""AME 6980-027 -Research Doctoral Dissertation"",",Pejman Kazempoor,"2 to 16 hours. Prerequisite: Graduate standing and permission of instructor; may be repeated. Directed research culminating in the completion of the doctoral dissertation. (F, Sp, Su)",Aug 19 - Dec 13,3 out of 5,Thesis/Dissertation,Traditional In-Person,Times: 30,None,No Wait List,Times not available,Location not available,Days not available,,,
"""AME 6980-029 -Research Doctoral Dissertation"",",Erkan Kayacan,"2 to 16 hours. Prerequisite: Graduate standing and permission of instructor; may be repeated. Directed research culminating in the completion of the doctoral dissertation. (F, Sp, Su)",Aug 19 - Dec 13,3 out of 5,Thesis/Dissertation,Traditional In-Person,Times: 30,None,No Wait List,Times not available,Location not available,Days not available,,,
"""AME 6980-030 -Research Doctoral Dissertation"",",Hamidreza Shabgard,"2 to 16 hours. Prerequisite: Graduate standing and permission of instructor; may be repeated. Directed research culminating in the completion of the doctoral dissertation. (F, Sp, Su)",Aug 19 - Dec 13,2 out of 5,Thesis/Dissertation,Traditional In-Person,Times: 30,None,No Wait List,Times not - Felgar Hall,206 Days not,"available""",,,
"""AMGT 2013-001 -Marketing in the Arts"",",Renard Stanislas,"Any entrepreneurial or organizational role in the professional arts industry calls for an understanding of negotiation (advocating for an outcome with multiple parties) and marketing (advocating for one's mission, service, or product). This course explores the basics of negotiations and marketing. There is a particular emphasis on social media and engagement. (Irreg.)",Aug 19 - Dec 6,11 out of 30,Lecture,Traditional In-Person,Not Repeatable,None,0 Waiting,4:30 pm - 5:45 pm,Fred Jones Art Ctr 203,TR,4:30 pm - 6:30 pm,Dec 9,"Fred Jones Art Ctr 203 M"","
"""AMGT 4030-001 -Internship I in The Arts"",",Renard Stanislas,1 to 3 hours. (Slashlisted with AMGT 5030) Prerequisite: Junior standing or permission of the instructor; May be repeated; Maximum credit: six hours. Students arrange for and work in a focused professional work experience. No student may earn credit for both 4030 and 5030. (Irreg.),Aug 19 - Dec 13,5 out of 5,Internship,Traditional In-Person,"Times: 1, Max Hours: 6",None,No Wait List,Times not available,Location not available,Days not available,4:30 pm - 6:30 pm,Dec 9,"Fred Jones Art Ctr 203 M"","
"""AMGT 4213-025 -Arts Incubation Lab"",",Lucia Colombari and Renard Stanislas,(Slashlisted with 5213) Prerequisite: Student must be declared as a Arts Management and Entrepreneurship minor; AMGT 3023; permission of instructor. This course is based on experiential learning and runs concurrently with an external competitive program for entrepreneurial projects in the professional arts marketplace. Students in this course will have the opportunity to build on the basics of entrepreneurship and management skills acquired within the courses of the undergraduate minor in Arts Management and Entrepreneurship. No student may earn credit for both 4213 and 5213. (Su),Oct 14 - Dec 6,8 out of 10,Study Abroad,Traditional In-Person,Not Repeatable,None,No Wait List,Times not - SBOU Arezzo,Italy (OUA) Days not,"available""",,,
"""AMGT 4990-001 -Independent Study"",",Renard Stanislas,1 to 3 hours. Prerequisite: Senior standing and permission of instructor. May be repeated; maximum credit nine hours. Contracted independent study for a topic not currently offered in regularly scheduled courses. Independent study may include library and/or laboratory research and field projects. (Irreg.),Aug 19 - Dec 13,5 out of 5,Independent Study,Traditional In-Person,Max Hours: 9,None,No Wait List,Times not available,Location not available,Days not available,,,
"""AMGT 5013-001 -Overview of Arts Mgt & Entrep"",",Renard Stanislas,"Prerequisite: graduate standing. This class will present an overview and historical perspective of the field of arts entrepreneurship and management. Readings will be supplemented by guest speakers and visits to professional organizations, enhancing the student's understanding of the diversity of the professional opportunities in arts administration and arts management. (Irreg.)",Aug 19 - Dec 6,21 out of 25,Lecture,Synchronous Video Conf/Remote,Not Repeatable,None,No Wait List,6:00 pm - 8:40 pm,Video Conference,"M""",,,
"""AMGT 5030-002 -Internship I in the Arts"",",Renard Stanislas,"1 to 3 hours. (Slashlisted with AMGT 4030) Prerequisite: Graduate standing, AMGT 5013, and permission of instructor; may be repeated, maximum 6 credits. Students arrange for and work in a focused professional work experience. No student may earn credit for both 4030 and 5030. (Irreg.)",Aug 19 - Dec 13,5 out of 5,Internship,Traditional In-Person,"Times: 1, Max Hours: 6",None,No Wait List,Times not available,Location not available,Days not available,,,
"""AMGT 5213-025 -Arts Incubation Lab"",",Lucia Colombari and Renard Stanislas,"(Slashlisted with AMGT 4213) Prerequisite: Graduate standing, AMGT 5013, and permission of instructor. This course is based on experiential learning and runs concurrently with an external competitive program for entrepreneurial projects in the professional arts marketplace. Students in this course will have the opportunity to build on the basics of entrepreneurship and management skills acquired within the courses of the Graduate Certificate in Arts Management and Entrepreneurship. No student may earn credit for both 4213 and 5213.",Oct 14 - Dec 6,10 out of 10,Study Abroad,Traditional In-Person,Not Repeatable,None,No Wait List,Times not - SBOU Arezzo,Italy (OUA) Days not,"available""",,,
"""AMGT 5990-001 -Independent Study"",",Renard Stanislas,1 to 3 hours. Prerequisite: Graduate standing and permission of instructor; May be repeated; maximum credit nine hours. Contracted independent study for a topic not currently offered in regularly scheduled courses. Independent study may include library and/or laboratory research and field projects. (Irreg.),Aug 19 - Dec 13,5 out of 5,Independent Study,Traditional In-Person,Max Hours: 9,None,No Wait List,Times not available,Location not available,Days not available,,,
"""ANTH 6980-020 -Research Doctoral Dissertation"",",Patrick Livingood,"2 to 16 hours. Prerequisite: Graduate standing; may be repeated. Directed research culminating in the completion of the doctoral dissertation. (F, Sp, Su)",Aug 19 - Dec 13,1 out of 5,Thesis/Dissertation,Traditional In-Person,Times: 30,None,No Wait List,Times not - Dale Hall,Tower 521 Days not,"available""",,,
"""ANTH 6980-022 -Research Doctoral Dissertation"",",TBD,"2 to 16 hours. Prerequisite: Graduate standing; may be repeated. Directed research culminating in the completion of the doctoral dissertation. (F, Sp, Su)",Aug 19 - Dec 13,5 out of 5,Thesis/Dissertation,Traditional In-Person,Times: 30,None,No Wait List,Times not - Dale Hall,Tower 509 Days not,"available""",,,
"""ANTH 6980-023 -Research Doctoral Dissertation"",",Cecil Lewis,"2 to 16 hours. Prerequisite: Graduate standing; may be repeated. Directed research culminating in the completion of the doctoral dissertation. (F, Sp, Su)",Aug 19 - Dec 13,10 out of 10,Thesis/Dissertation,Traditional In-Person,Times: 30,None,No Wait List,Times not - Dale Hall,Tower 505C Days not,"available""",,,
"""ANTH 6980-024 -Research Doctoral Dissertation"",",Sarah Trabert,"2 to 16 hours. Prerequisite: Graduate standing; may be repeated. Directed research culminating in the completion of the doctoral dissertation. (F, Sp, Su)",Aug 19 - Dec 13,5 out of 5,Thesis/Dissertation,Traditional In-Person,Times: 30,None,No Wait List,Times not - Dale Hall,Tower 514 Days not,"available""",,,
"""ANTH 6980-027 -Research Doctoral Dissertation"",",Paul Spicer,"2 to 16 hours. Prerequisite: Graduate standing; may be repeated. Directed research culminating in the completion of the doctoral dissertation. (F, Sp, Su)",Aug 19 - Dec 13,4 out of 5,Thesis/Dissertation,Traditional In-Person,Times: 30,None,No Wait List,Times not - Dale Hall,Tower 508 Days not,"available""",,,
"""ANTH 6980-028 -Research Doctoral Dissertation"",",Lori Jervis,"2 to 16 hours. Prerequisite: Graduate standing; may be repeated. Directed research culminating in the completion of the doctoral dissertation. (F, Sp, Su)",Aug 19 - Dec 13,4 out of 5,Thesis/Dissertation,Traditional In-Person,Times: 30,None,No Wait List,Times not - Dale Hall,Tower 508 Days not,"available""",,,
"""ANTH 6990-001 -Independent Study"",",Sean O Neill,1 to 3 hours. Prerequisite: Graduate standing and permission of instructor. May be repeated; maximum credit nine hours. Contracted independent study for a topic not currently offered in regularly scheduled courses. Independent study may include library and/or laboratory research and field projects. (Irreg.),Aug 19 - Dec 13,5 out of 5,Independent Study,Traditional In-Person,Not Repeatable,None,No Wait List,Times not available,Location not available,Days not available,,,
"""ANTH 6990-002 -Independent Study"",",Debra Green,1 to 3 hours. Prerequisite: Graduate standing and permission of instructor. May be repeated; maximum credit nine hours. Contracted independent study for a topic not currently offered in regularly scheduled courses. Independent study may include library and/or laboratory research and field projects. (Irreg.),Aug 19 - Dec 13,5 out of 5,Independent Study,Traditional In-Person,Not Repeatable,None,No Wait List,Times not available,Location not available,Days not available,,,
"""ANTH 6990-003 -Independent Study"",",BONNIE PITBLADO,1 to 3 hours. Prerequisite: Graduate standing and permission of instructor. May be repeated; maximum credit nine hours. Contracted independent study for a topic not currently offered in regularly scheduled courses. Independent study may include library and/or laboratory research and field projects. (Irreg.),Aug 19 - Dec 13,5 out of 5,Independent Study,Traditional In-Person,Not Repeatable,None,No Wait List,Times not available,Location not available,Days not available,,,
"""ARAB 2113-001 -Intermediate Arabic"",",Hossam Barakat,"Prerequisite: ARAB 1225. Aims at developing language skills (listening, speaking, reading and writing) at the intermediate level, with more emphasis on reading and writing. Expands into more complex structures, wider communicative situations and vocabulary relating to practical, social, cultural and media topics. (F)",Aug 19 - Dec 6,11 out of 20,Lecture,Traditional In-Person,Not Repeatable,None,0 Waiting,11:00 am - 11:50 am,Kaufman Hall 138,MWF,1:30 pm - 3:30 pm,Dec 9,"Kaufman Hall 138 M"","
"""ARAB 3113-001 -Advanced Arabic"",",Amel Khalfaoui,"Prerequisite: 2223. Students are expected to read, listen to, and understand the content and intent of a variety of authentic texts; write at the paragraph level; and participate in formal and informal discussion on social and professional topics. (F)",Aug 19 - Dec 6,2 out of 10,Lecture,Traditional In-Person,Not Repeatable,None,0 Waiting,10:30 am - 11:45 am,Kaufman Hall 330,TR,8:00 am - 10:00 am,Dec 12,"Kaufman Hall 330 R"","
"""ARAB 3980-001 -Honors Research (HONORS)"",",Mohammad Al-Masri,"1 to 3 hours. Prerequisite: admission to Honors Program. May be repeated; maximum credit six hours. Provides an opportunity for the gifted Honors candidate to work at a special project in the student's field. (F, Sp, Su)",Aug 19 - Dec 13,5 out of 5,Independent Study,Traditional In-Person,Not Repeatable,None,No Wait List,Times not available,Location not available,Days not available,8:00 am - 10:00 am,Dec 12,"Kaufman Hall 330 R"","
"""ARAB 3990-001 -Independent Study"",",Mohammad Al-Masri,"1 to 3 hours. Prerequisite: one course in general area to be studied; permission of instructor and department. May be repeated; maximum credit six hours. Contracted independent study for topic not currently offered in regularly scheduled courses. (F, Sp)",Aug 19 - Dec 13,5 out of 5,Independent Study,Traditional In-Person,Max Hours: 6,None,No Wait List,Times not available,Location not available,Days not available,,,
"""ARAB 3990-002 -Independent Study"",",Amel Khalfaoui,"1 to 3 hours. Prerequisite: one course in general area to be studied; permission of instructor and department. May be repeated; maximum credit six hours. Contracted independent study for topic not currently offered in regularly scheduled courses. (F, Sp)",Aug 19 - Dec 13,5 out of 5,Independent Study,Traditional In-Person,Max Hours: 6,None,No Wait List,Times not - Copeland Hall,Days not,"available""",,,
"""ARAB 4990-001 -Independent Study"",",Amel Khalfaoui,"1 to 3 hours. Prerequisite: four courses in general area to be studied; permission of instructor and department. May be repeated; maximum credit six hours. Contracted independent study for topic not currently offered in regularly scheduled courses. (F, Sp)",Aug 19 - Dec 13,5 out of 5,Independent Study,Traditional In-Person,Max Hours: 6,None,No Wait List,Times not available,Location not available,Days not available,,,
"""ARAB 4990-002 -Independent Study"",",TBD,"1 to 3 hours. Prerequisite: four courses in general area to be studied; permission of instructor and department. May be repeated; maximum credit six hours. Contracted independent study for topic not currently offered in regularly scheduled courses. (F, Sp)",Aug 19 - Dec 13,5 out of 5,Independent Study,Traditional In-Person,Max Hours: 6,None,No Wait List,Times not available,Location not available,Days not available,,,
