course name,instructor,course description,course dates,seats left,Schedule,delivery,repeatable,Gened type,Waitlist,meeting times,location,meeting days,final exam time,final exam date,final exam location
"""C S 1323-002 -Intro. Prog. for Programmers"",",Keerti Banweer and Deborah Trytten,"Please visit https://www.ou.edu/coe/cs/resources, under \u201cDepartmental Links\u201d for the Placement Survey for CS 1321/3/4. Completion of this survey is required for proper placement into CS 1321, CS 1323, or CS 1324. Refer all questions regarding this process to Dr. Deborah Trytten (dtrytten@ou.edu).  Prerequisite: Departmental Permission; and Math 1523 or MATH 1743 or equivalent or concurrent enrollment, or placement into Math 1823 or higher. Introduction to the design and implementation of computer software with an emphasis on abstraction and program organization for students with some prior programming experience. Topics include: variables and constants, arithmetic and Boolean expressions, conditional statements, repetition, methods, arrays, linear and binary search, basic sorting algorithms, object-oriented programming, documentation, and testing. Students may not take this class after passing CS 2334. (F, Sp)",Aug 19 - Dec 6,23 out of 60,Lecture,Traditional In-Person,Not Repeatable,None,0 Waiting,12:00 pm - 12:50 pm,Gaylord Hall 2020,MWF,7:30 pm - 9:30 pm,Dec 11,"Location not available W"","
"""C S 1324-001 -Intro prog for non-programmers"",",Deborah Trytten,"STUDENTS MUST ENROLL IN ONE OF THE FOLLOWING AS A CO-REQUISITE: C S 1324-011 thru C S 1324-015. Please visit https://www.ou.edu/coe/cs/resources, under \u201cDepartmental Links\u201d for the Placement Survey for CS 1321/3/4. Completion of this survey is required for proper placement into CS 1321, CS 1323, or CS 1324. Refer all questions regarding this process to Dr. Deborah Trytten (dtrytten@ou.edu).  Prerequisite: Departmental Permission; and Math 1523 or MATH 1743 or equivalent or concurrent enrollment, or placement into Math 1823 or higher. Introduction to the design and implementation of computer software with an emphasis on abstraction and program organization for students with no prior programming experience. Topics include: variables and constants, arithmetic and Boolean expressions, conditional statements, repetition, methods, arrays, linear and binary search, basic sorting algorithms, object-oriented programming, documentation, and testing. Students may not take this class after passing CS 2334. (F, Sp)",Aug 19 - Dec 6,14 out of 40,Lecture,Traditional In-Person,Not Repeatable,None,No Wait List,9:00 am - 9:50 am,Dale Hall 206,MWF,7:30 pm - 9:30 pm,Dec 11,"Location not available W"","
"""C S 1324-002 -Intro prog for non-programmers"",",Deborah Trytten,"Students must enroll in one of the following co-requisites: C S 1324-011 thru C S 1324-015 Please visit https://www.ou.edu/coe/cs/resources, under \u201cDepartmental Links\u201d for the Placement Survey for CS 1321/3/4. Completion of this survey is required for proper placement into CS 1321, CS 1323, or CS 1324. Refer all questions regarding this process to Dr. Deborah Trytten (dtrytten@ou.edu).  Prerequisite: Departmental Permission; and Math 1523 or MATH 1743 or equivalent or concurrent enrollment, or placement into Math 1823 or higher. Introduction to the design and implementation of computer software with an emphasis on abstraction and program organization for students with no prior programming experience. Topics include: variables and constants, arithmetic and Boolean expressions, conditional statements, repetition, methods, arrays, linear and binary search, basic sorting algorithms, object-oriented programming, documentation, and testing. Students may not take this class after passing CS 2334. (F, Sp)",Aug 19 - Dec 6,21 out of 80,Lecture,Traditional In-Person,Not Repeatable,None,No Wait List,10:00 am - 10:50 am,Dale Hall 206,MWF,7:30 pm - 9:30 pm,Dec 11,"Location not available W"","
"""C S 1324-011 -Lab-C S 1324"",",Aishwarya Peri and Deborah Trytten,"Prerequisite: Departmental Permission; and Math 1523 or MATH 1743 or equivalent or concurrent enrollment, or placement into Math 1823 or higher. Introduction to the design and implementation of computer software with an emphasis on abstraction and program organization for students with no prior programming experience. Topics include: variables and constants, arithmetic and Boolean expressions, conditional statements, repetition, methods, arrays, linear and binary search, basic sorting algorithms, object-oriented programming, documentation, and testing. Students may not take this class after passing CS 2334. (F, Sp)",Aug 19 - Dec 6,6 out of 30,Lab with No Credit,Traditional In-Person,Not Repeatable,None,0 Waiting,11:00 am - 12:50 pm,Sarkeys Energy Ctr M0207,"M""",7:30 pm - 9:30 pm,Dec 11,"Location not available W"","
"""C S 1324-012 -Lab-C S 1324"",",Aishwarya Peri and Deborah Trytten,"Prerequisite: Departmental Permission; and Math 1523 or MATH 1743 or equivalent or concurrent enrollment, or placement into Math 1823 or higher. Introduction to the design and implementation of computer software with an emphasis on abstraction and program organization for students with no prior programming experience. Topics include: variables and constants, arithmetic and Boolean expressions, conditional statements, repetition, methods, arrays, linear and binary search, basic sorting algorithms, object-oriented programming, documentation, and testing. Students may not take this class after passing CS 2334. (F, Sp)",Aug 19 - Dec 6,2 out of 30,Lab with No Credit,Traditional In-Person,Not Repeatable,None,0 Waiting,1:00 pm - 2:50 pm,Sarkeys Energy Ctr M0207,"M""",,,
"""C S 1324-013 -Lab-C S 1324"",",Xavier Williams and Deborah Trytten,"Prerequisite: Departmental Permission; and Math 1523 or MATH 1743 or equivalent or concurrent enrollment, or placement into Math 1823 or higher. Introduction to the design and implementation of computer software with an emphasis on abstraction and program organization for students with no prior programming experience. Topics include: variables and constants, arithmetic and Boolean expressions, conditional statements, repetition, methods, arrays, linear and binary search, basic sorting algorithms, object-oriented programming, documentation, and testing. Students may not take this class after passing CS 2334. (F, Sp)",Aug 19 - Dec 6,6 out of 30,Lab with No Credit,Traditional In-Person,Not Repeatable,None,0 Waiting,3:00 pm - 4:50 pm,Sarkeys Energy Ctr M0207,"M""",,,
"""C S 1324-014 -Lab-C S 1324"",",Ujwala Vasireddy and Deborah Trytten,"Prerequisite: Departmental Permission; and Math 1523 or MATH 1743 or equivalent or concurrent enrollment, or placement into Math 1823 or higher. Introduction to the design and implementation of computer software with an emphasis on abstraction and program organization for students with no prior programming experience. Topics include: variables and constants, arithmetic and Boolean expressions, conditional statements, repetition, methods, arrays, linear and binary search, basic sorting algorithms, object-oriented programming, documentation, and testing. Students may not take this class after passing CS 2334. (F, Sp)",Aug 19 - Dec 6,21 out of 30,Lab with No Credit,Traditional In-Person,Not Repeatable,None,0 Waiting,5:00 pm - 6:50 pm,Sarkeys Energy Ctr M0207,"M""",,,
"""C S 2334-001 -Programming Struc/Abstractions"",",Sanjana Mudduluru,"STUDENTS MUST ENROLL IN ONE OF THE FOLLOWING SECTIONS AS A COREQUISITE: C S 2334-011 THROUGH C S 2334-014.  Prerequisite: C S 1323 or 1321 or 1324, and MATH 1523 or higher. The design and implementation of computer programs using disciplined methodologies. Use of several abstract data types. Software reuse through encapsulation, composition, aggregation, inheritance, polymorphism, and generics. Topics include recursion, GUI development, file processing, and unit testing. A program design tool will be used. Introduction to ethics in computer science, including philosophical ethics theories. Discussion of intellectual property rights and privacy. (F, Sp)",Aug 19 - Dec 6,38 out of 80,Lecture,Traditional In-Person,Not Repeatable,None,No Wait List,9:00 am - 9:50 am,Dale Hall 112,MWF,8:00 am - 10:00 am,Dec 10,"Dale Hall 112 T"","
"""C S 2334-002 -Programming Struc/Abstractions"",",Sanjana Mudduluru,"STUDENTS MUST ENROLL IN ONE OF THE FOLLOWING CO-REQUISITES: C S 2334-011 THROUGH C S 2334-014.  Prerequisite: C S 1323 or 1321 or 1324, and MATH 1523 or higher. The design and implementation of computer programs using disciplined methodologies. Use of several abstract data types. Software reuse through encapsulation, composition, aggregation, inheritance, polymorphism, and generics. Topics include recursion, GUI development, file processing, and unit testing. A program design tool will be used. Introduction to ethics in computer science, including philosophical ethics theories. Discussion of intellectual property rights and privacy. (F, Sp)",Aug 19 - Dec 6,38 out of 80,Lecture,Traditional In-Person,Not Repeatable,None,No Wait List,10:00 am - 10:50 am,Dale Hall 112,MWF,8:00 am - 10:00 am,Dec 11,"Dale Hall 112 W"","
"""C S 2334-011 -Lab-C S 2334"",",Farabee Islam,"Prerequisite: C S 1323 or 1321 or 1324, and MATH 1523 or higher. The design and implementation of computer programs using disciplined methodologies. Use of several abstract data types. Software reuse through encapsulation, composition, aggregation, inheritance, polymorphism, and generics. Topics include recursion, GUI development, file processing, and unit testing. A program design tool will be used. Introduction to ethics in computer science, including philosophical ethics theories. Discussion of intellectual property rights and privacy. (F, Sp)",Aug 19 - Dec 6,25 out of 40,Lab with No Credit,Traditional In-Person,Not Repeatable,None,0 Waiting,11:00 am - 12:50 pm,Sarkeys Energy Ctr M0207,"W""",8:00 am - 10:00 am,Dec 11,"Dale Hall 112 W"","
"""C S 2334-012 -Lab-C S 2334"",",Farabee Islam,"Prerequisite: C S 1323 or 1321 or 1324, and MATH 1523 or higher. The design and implementation of computer programs using disciplined methodologies. Use of several abstract data types. Software reuse through encapsulation, composition, aggregation, inheritance, polymorphism, and generics. Topics include recursion, GUI development, file processing, and unit testing. A program design tool will be used. Introduction to ethics in computer science, including philosophical ethics theories. Discussion of intellectual property rights and privacy. (F, Sp)",Aug 19 - Dec 6,13 out of 40,Lab with No Credit,Traditional In-Person,Not Repeatable,None,0 Waiting,1:00 pm - 2:50 pm,Sarkeys Energy Ctr M0207,"W""",,,
"""C S 2334-013 -Lab-C S 2334"",",Reza Gheibi,"Prerequisite: C S 1323 or 1321 or 1324, and MATH 1523 or higher. The design and implementation of computer programs using disciplined methodologies. Use of several abstract data types. Software reuse through encapsulation, composition, aggregation, inheritance, polymorphism, and generics. Topics include recursion, GUI development, file processing, and unit testing. A program design tool will be used. Introduction to ethics in computer science, including philosophical ethics theories. Discussion of intellectual property rights and privacy. (F, Sp)",Aug 19 - Dec 6,12 out of 40,Lab with No Credit,Traditional In-Person,Not Repeatable,None,0 Waiting,3:00 pm - 4:50 pm,Sarkeys Energy Ctr M0207,"W""",,,
"""C S 2334-014 -Lab-C S 2334"",",Reza Gheibi,"Prerequisite: C S 1323 or 1321 or 1324, and MATH 1523 or higher. The design and implementation of computer programs using disciplined methodologies. Use of several abstract data types. Software reuse through encapsulation, composition, aggregation, inheritance, polymorphism, and generics. Topics include recursion, GUI development, file processing, and unit testing. A program design tool will be used. Introduction to ethics in computer science, including philosophical ethics theories. Discussion of intellectual property rights and privacy. (F, Sp)",Aug 19 - Dec 6,26 out of 40,Lab with No Credit,Traditional In-Person,Not Repeatable,None,0 Waiting,5:00 pm - 6:50 pm,Sarkeys Energy Ctr M0207,"W""",,,
"""C S 2413-001 -Data Structures"",",Sridhar Radhakrishnan,"Prerequisite: C S 2334 and MATH 1823 or 1914; and C S 2813 or MATH 2513, or concurrent enrollment in C S 2813 or MATH 2513. Representation, analysis and implementation of data structures and associated algorithms including: algorithm complexity, sorting algorithms, lists, stacks, queues, search trees (AVL, Red-Black, Splay, 2-3), Heaps, Graphs, and Hashing. Written communications required in some projects. Ethical issues and tools and techniques used in writing secure applications will also be discussed. The primary programming language is C++ with a debugging tool. (F, Sp)",Aug 19 - Dec 6,69 out of 200,Lecture,Traditional In-Person,Not Repeatable,None,No Wait List,9:00 am - 9:50 am,Dale Hall 103,MWF,8:00 am - 10:00 am,Dec 10,"Dale Hall 103 T"","
"""C S 2614-010 -Computer Organization"",",Mohammed Atiquzzaman,"Prerequisite: CS 2334. An introduction to the architecture, organization and design of uniprocessor-based computer systems. Topics include processor, control and memory design and organization, pipelining and vector processing, computer arithmetic, I/O organization, and computer systems security. (F, Sp)",Aug 19 - Dec 6,21 out of 140,Lecture,Traditional In-Person,Not Repeatable,None,No Wait List,10:30 am - 11:45 am,Dale Hall 103,TR,8:00 am - 10:00 am,Dec 12,"Dale Hall 103 R"","
"""C S 2614-011 -Lab-C S 2614-010"",",Mohammed Atiquzzaman,"Prerequisite: CS 2334. An introduction to the architecture, organization and design of uniprocessor-based computer systems. Topics include processor, control and memory design and organization, pipelining and vector processing, computer arithmetic, I/O organization, and computer systems security. (F, Sp)",Aug 19 - Dec 6,21 out of 140,Lab with No Credit,Traditional In-Person,Not Repeatable,None,0 Waiting,3:00 pm - 4:40 pm,Dale Hall 103,"W""",8:00 am - 10:00 am,Dec 12,"Dale Hall 103 R"","
"""C S 2813-001 -Discrete Structures"",",Sina Khanmohammadi,"Prerequisite: C S 2334; MATH 2423 or MATH 2924 as prerequisite or concurrent enrollment. Introduction to the theory of discrete structures useful in computer science. Topics include combinatorics, relations, functions, computational complexity, recurrences, and graph theory. (F, Sp)",Aug 19 - Dec 6,9 out of 180,Lecture,Traditional In-Person,Not Repeatable,None,0 Waiting,12:00 pm - 1:15 pm,Felgar Hall 300,TR,1:30 pm - 3:30 pm,Dec 11,"Felgar Hall 300 W"","
"""C S 3113-001 -Intro to Operating Systems"",",Song Fang,"Prerequisite: C S 2413 or C S 2414, and C S 2813 or MATH 2513, and C S 2614 or ECE 3223. An introduction to the major concepts and techniques of designing and implementing operating systems including: memory management, process management, information management, and computer security. Principles of performance evaluation. Class projects require the design and implementation of software systems. A UNIX family operating system will be used. (F)",Aug 19 - Dec 6,1 out of 150,Lecture,Traditional In-Person,Not Repeatable,None,0 Waiting,1:30 pm - 2:45 pm,Felgar Hall 300,TR,1:30 pm - 3:30 pm,Dec 10,"Felgar Hall 300 T"","
"""C S 3203-001 -Software Engineering"",",Mansoor Abdulhak,"Prerequisite: C S 2413 or CS 2414, and C S 2813 or MATH 2513. Methods and tools for software specification, design, implementation, testing, code management and documentation. Emphasis on architectural modularity, encapsulation of software objects, and current industrial software development processes. Students will make reasoned choices among software components. Study of professional ethics, responsibility, and legal issues. No student may obtain credit for CS 3203 and C S 5213. (F, Sp)",Aug 19 - Dec 6,9 out of 120,Lecture,Traditional In-Person,Not Repeatable,None,0 Waiting,11:00 am - 11:50 am,Gallogly Hall 127,MWF,1:30 pm - 3:30 pm,Dec 9,"Gallogly Hall 127 M"","
"""C S 3323-001 -Princ-Programming Languages"",",Doga Demirel,"Prerequisite: C S 2413 or C S 2414, and C S 2813 or MATH 2513, and ENGL 3153 or BC 2813 or ENGR 2002 as a prerequisite or concurrent enrollment. An introduction to theoretical foundations and paradigms of programming languages. Topics include basic concepts such as lexical analysis, syntax analysis, type systems and semantics, some practical issues such as memory management and exception handling, and programming paradigms such as imperative programming, object-oriented programming, functional programming and scripting. (Sp)",Aug 19 - Dec 6,25 out of 100,Lecture,Traditional In-Person,Not Repeatable,None,0 Waiting,4:30 pm - 5:45 pm,Sarkeys Energy Ctr N0202,TR,4:30 pm - 6:30 pm,Dec 9,"Sarkeys Energy Ctr N0202 M"","
"""C S 3440-005 -Mentored Research Experience"",",Chongle Pan,"0 to 3 hours. Prerequisite: ENGL 1213 or EXPO 1213, and permission of instructor; may be repeated; maximum credit 12 hours. For the inquisitive student to apply computer science in a project under the mentorship of a faculty member. Student and instructor should complete an Undergraduate Research & Creative Projects (URCP) Mentoring Agreement and file it with the URCP office. Not for honors credit. . (F, Sp, Su)",Aug 19 - Dec 13,4 out of 5,Independent Study,Traditional In-Person,Max Hours: 12,None,No Wait List,Times not available,Location not available,Days not available,4:30 pm - 6:30 pm,Dec 9,"Sarkeys Energy Ctr N0202 M"","
"""C S 3440-006 -Mentored Research Experience"",",Dimitrios Diochnos,"0 to 3 hours. Prerequisite: ENGL 1213 or EXPO 1213, and permission of instructor; may be repeated; maximum credit 12 hours. For the inquisitive student to apply computer science in a project under the mentorship of a faculty member. Student and instructor should complete an Undergraduate Research & Creative Projects (URCP) Mentoring Agreement and file it with the URCP office. Not for honors credit. . (F, Sp, Su)",Aug 19 - Dec 13,3 out of 5,Independent Study,Traditional In-Person,Max Hours: 12,None,No Wait List,Times not available,Location not available,Days not available,,,
"""C S 3440-010 -Mentored Research Experience"",",Sanjana Mudduluru,"0 to 3 hours. Prerequisite: ENGL 1213 or EXPO 1213, and permission of instructor; may be repeated; maximum credit 12 hours. For the inquisitive student to apply computer science in a project under the mentorship of a faculty member. Student and instructor should complete an Undergraduate Research & Creative Projects (URCP) Mentoring Agreement and file it with the URCP office. Not for honors credit. . (F, Sp, Su)",Aug 19 - Dec 13,4 out of 5,Independent Study,Traditional In-Person,Max Hours: 12,None,No Wait List,Times not available,Location not available,Days not available,,,
"""C S 3440-011 -Mentored Research Experience"",",David Ebert,"0 to 3 hours. Prerequisite: ENGL 1213 or EXPO 1213, and permission of instructor; may be repeated; maximum credit 12 hours. For the inquisitive student to apply computer science in a project under the mentorship of a faculty member. Student and instructor should complete an Undergraduate Research & Creative Projects (URCP) Mentoring Agreement and file it with the URCP office. Not for honors credit. . (F, Sp, Su)",Aug 19 - Dec 13,3 out of 5,Independent Study,Traditional In-Person,Max Hours: 12,None,No Wait List,Times not available,Location not available,Days not available,,,
"""C S 3440-013 -Mentored Research Experience"",",Anindya Maiti,"0 to 3 hours. Prerequisite: ENGL 1213 or EXPO 1213, and permission of instructor; may be repeated; maximum credit 12 hours. For the inquisitive student to apply computer science in a project under the mentorship of a faculty member. Student and instructor should complete an Undergraduate Research & Creative Projects (URCP) Mentoring Agreement and file it with the URCP office. Not for honors credit. . (F, Sp, Su)",Aug 19 - Dec 13,2 out of 5,Independent Study,Traditional In-Person,Max Hours: 12,None,No Wait List,Times not available,Location not available,Days not available,,,
"""C S 3440-014 -Mentored Research Experience"",",Chao Lan,"0 to 3 hours. Prerequisite: ENGL 1213 or EXPO 1213, and permission of instructor; may be repeated; maximum credit 12 hours. For the inquisitive student to apply computer science in a project under the mentorship of a faculty member. Student and instructor should complete an Undergraduate Research & Creative Projects (URCP) Mentoring Agreement and file it with the URCP office. Not for honors credit. . (F, Sp, Su)",Aug 19 - Dec 13,5 out of 5,Independent Study,Traditional In-Person,Max Hours: 12,None,No Wait List,Times not available,Location not available,Days not available,,,
"""C S 3440-020 -Mentored Research Experience"",",Shangqing Zhao,"0 to 3 hours. Prerequisite: ENGL 1213 or EXPO 1213, and permission of instructor; may be repeated; maximum credit 12 hours. For the inquisitive student to apply computer science in a project under the mentorship of a faculty member. Student and instructor should complete an Undergraduate Research & Creative Projects (URCP) Mentoring Agreement and file it with the URCP office. Not for honors credit. . (F, Sp, Su)",Aug 19 - Dec 13,5 out of 5,Independent Study,Traditional In-Person,Max Hours: 12,None,No Wait List,Times not available,Location not available,Days not available,,,
"""C S 3440-021 -Mentored Research Experience"",",Ghulam Quadri,"0 to 3 hours. Prerequisite: ENGL 1213 or EXPO 1213, and permission of instructor; may be repeated; maximum credit 12 hours. For the inquisitive student to apply computer science in a project under the mentorship of a faculty member. Student and instructor should complete an Undergraduate Research & Creative Projects (URCP) Mentoring Agreement and file it with the URCP office. Not for honors credit. . (F, Sp, Su)",Aug 19 - Dec 13,4 out of 5,Independent Study,Traditional In-Person,Max Hours: 12,None,No Wait List,Times not available,Location not available,Days not available,,,
"""C S 3440-023 -Mentored Research Experience"",",Richard Veras,"0 to 3 hours. Prerequisite: ENGL 1213 or EXPO 1213, and permission of instructor; may be repeated; maximum credit 12 hours. For the inquisitive student to apply computer science in a project under the mentorship of a faculty member. Student and instructor should complete an Undergraduate Research & Creative Projects (URCP) Mentoring Agreement and file it with the URCP office. Not for honors credit. . (F, Sp, Su)",Aug 19 - Dec 13,1 out of 5,Independent Study,Traditional In-Person,Max Hours: 12,None,No Wait List,Times not available,Location not available,Days not available,,,
"""C S 3440-025 -Mentored Research Experience"",",Andrew Fagg,"0 to 3 hours. Prerequisite: ENGL 1213 or EXPO 1213, and permission of instructor; may be repeated; maximum credit 12 hours. For the inquisitive student to apply computer science in a project under the mentorship of a faculty member. Student and instructor should complete an Undergraduate Research & Creative Projects (URCP) Mentoring Agreement and file it with the URCP office. Not for honors credit. . (F, Sp, Su)",Aug 19 - Dec 13,4 out of 5,Independent Study,Traditional In-Person,Max Hours: 12,None,No Wait List,Times not available,Location not available,Days not available,,,
"""C S 3440-097 -Mentored Research Experience"",",Szeming Cheng,"0 to 3 hours. Prerequisite: ENGL 1213 or EXPO 1213, and permission of instructor; may be repeated; maximum credit 12 hours. For the inquisitive student to apply computer science in a project under the mentorship of a faculty member. Student and instructor should complete an Undergraduate Research & Creative Projects (URCP) Mentoring Agreement and file it with the URCP office. Not for honors credit. . (F, Sp, Su)",Aug 19 - Dec 13,1 out of 5,Independent Study,Traditional In-Person,Max Hours: 12,None,No Wait List,Times not available,Location not available,Days not available,,,
"""C S 3440-098 -Mentored Research Experience"",",Mansoor Abdulhak,"0 to 3 hours. Prerequisite: ENGL 1213 or EXPO 1213, and permission of instructor; may be repeated; maximum credit 12 hours. For the inquisitive student to apply computer science in a project under the mentorship of a faculty member. Student and instructor should complete an Undergraduate Research & Creative Projects (URCP) Mentoring Agreement and file it with the URCP office. Not for honors credit. . (F, Sp, Su)",Aug 19 - Dec 13,4 out of 5,Independent Study,Traditional In-Person,Max Hours: 12,None,No Wait List,Times not available,Location not available,Days not available,,,
"""C S 3440-099 -Mentored Research Experience"",",Lauren E. Grimley,"0 to 3 hours. Prerequisite: ENGL 1213 or EXPO 1213, and permission of instructor; may be repeated; maximum credit 12 hours. For the inquisitive student to apply computer science in a project under the mentorship of a faculty member. Student and instructor should complete an Undergraduate Research & Creative Projects (URCP) Mentoring Agreement and file it with the URCP office. Not for honors credit. . (F, Sp, Su)",Aug 19 - Dec 13,4 out of 5,Independent Study,Traditional In-Person,Max Hours: 12,None,No Wait List,Times not available,Location not available,Days not available,,,
